target_id	length	eff_length	est_counts	tpm
YHL050C	2094	1806.63	203.803	1.95904
YHL050W-A	483	205.586	222.039	18.7558
YHL049C	816	529.784	20.5482	0.673563
YHL048C-A	135	30.6704	694	392.954
YHL048W	1146	859.942	91.6431	1.85068
YHL047C	1863	1584.69	498.098	5.4585
YHL046W-A	327	87.9696	47.9021	9.45635
YHL046C	363	110.864	4.84969	0.759671
YHL045W	348	100.993	5	0.859767
YHL044W	708	428.984	296	11.9827
YHL043W	513	232.871	202	15.0639
YHL042W	453	179.577	194	18.7609
YHL041W	450	177.148	31	3.03898
YHL040C	1884	1594.01	551	6.0029
YHL039W	1758	1490.54	1069	12.4548
YHL038C	1893	1609.6	2089	22.5384
YHL037C	402	139.004	137	17.1158
YHL036W	1641	1358.78	2752	35.1723
YHL035C	4779	4549.85	635	2.4237
YHL034W-A	462	187.162	1607.83	149.184
YHL034C	885	597.001	6764.17	196.762
YHL033C	771	477.328	556.205	20.2358
YHL032C	2130	1818.49	5389	51.4635
YHL031C	672	378.888	1549.51	71.0208
YHL030W-A	462	187.162	486.488	45.1394
YHL030W	5607	5362.46	5083	16.4611
YHL029C	2040	1761.34	5636	55.5685
YHL028W	1818	1539.52	1631	18.398
YHL027W	1878	1583.99	10711	117.43
YHL026C	948	657.011	1812	47.8947
YHL025W	999	706.592	2296	56.4293
YHL024W	2142	1854.31	826	7.73571
YHL023C	3441	3193.51	2323	12.6323
YHL022C	1197	912.732	784	14.9168
YHL021C	1398	1114.69	25992	404.936
YHL020C	1215	930.388	3784	70.6299
YHL019W-A	594	307.321	351.726	19.8753
YHL019C	1818	1539.01	1466.27	16.5453
YHL018W	363	110.864	356	55.7649
YHL017W	1599	1317.9	2870	37.8182
YHL016C	2208	1934.15	9401	84.4086
YHL015W-A	84	39.9878	519	225.394
YHL015W	366	112.789	9344	1438.7
YHL014C	1218	931.255	1599	29.8182
YHL013C	924	639.282	3063	83.2064
YHL012W	1482	1214.49	1334	19.0749
YHL011C	963	674.511	2856	73.5311
YHL010C	1758	1475.04	1106	13.0213
YHL009C	993	709.981	1770	43.2941
YHL009W-A	1242	974.954	312.882	5.57313
YHL009W-B	5409	5202.12	1198.24	4.00003
YHL008C	1884	1614.41	1163	12.5103
YHL007C	2820	2536.94	2742.73	18.7748
YHL006W-A	354	104.927	214.269	35.4628
YHL006C	453	179.577	445	43.0339
YHL005C	393	132.273	84	11.0283
YHL004W	1185	896.577	4233	81.9903
YHL003C	1236	956.096	2890	52.4926
YHL002C-A	489	210.841	1802.52	148.466
YHL002W	1359	1078.35	9399.48	151.373
YHL001W	417	150.526	7964.02	918.801
YHR001W	1314	1026.89	6250	105.696
YHR001W-A	234	43.3737	10033	4017.04
YHR002W	1074	790.275	3210	70.5389
YHR003C	1290	1009.33	1867	32.1229
YHR004C	1341	1062.45	3347	54.7077
YHR005C	1419	1139.8	1125	17.1406
YHR005C-A	282	62.999	2103	579.706
YHR006W	1626	1348.06	9875	127.212
YHR007C	1593	1306.45	14754	196.118
YHR007C-A	216	38.7626	622	278.663
YHR008C	702	408.9	18145	770.622
