"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YNL200C",7921.22786705968,1.01497909566677,0.107571140525747,7.08674543301462e-23,8.47947876765643e-22
"YKL152C",80873.3656188238,1.66207679179576,0.179855723136363,7.17204366733065e-23,8.56588062092685e-22
"YDR292C",1214.23791265353,1.01133479973917,0.108059927174142,1.5091261760883e-22,1.74509378489363e-21
"YCL019W",5224.42666191607,1.33800648863428,0.14834776850481,4.04526136660744e-22,4.52585224691379e-21
"YGR027W-B",647.868521052639,1.31877160284077,0.147233179673109,7.59914300214016e-22,8.33105376030274e-21
"YER103W",27929.2575917716,2.00998282459944,0.223820666282029,1.4505276289547e-21,1.55890038284212e-20
"YDR453C",3911.97567991109,1.17494093683019,0.131450647616141,1.97120562649228e-21,2.1105119210339e-20
"YDL034W",390.438235490233,1.00510037745691,0.111536726859905,4.00478313928247e-21,4.20727217441473e-20
"YKL060C",144243.968398819,1.58105164796142,0.180390850380446,4.24357297818201e-21,4.4438696227522e-20
"YFL051C",673.821495827228,1.13899590443213,0.133959747523235,1.21467465786555e-19,1.13410066130243e-18
"YDR258C",34108.449281771,1.52445359534083,0.18335904230322,1.8458521610276e-19,1.70637039462226e-18
"YDR034C-D",575.184449856997,1.28763158613356,0.156379124292836,4.78678063391812e-19,4.28583847455459e-18
"YCL021W-A",671.881329563459,1.12972562009101,0.137162954482324,1.2511454343498e-18,1.07888628034511e-17
"YMR303C",9222.10904837471,1.13402669454374,0.138292022835126,1.63678058125768e-18,1.39852857758897e-17
"YOL155W-A",144.159521442427,2.09965202201277,0.262672536125363,4.87054232962251e-18,4.01482362057675e-17
"YOL156W",872.625714656559,1.25184287239786,0.157761988030448,6.68478919394751e-18,5.40147472523289e-17
"YJL034W",49993.8275759009,1.54313733660038,0.205214208017016,1.10598815619626e-16,8.22578691170968e-16
"YJL127W-A",186.009609920103,1.47356682637503,0.204614257612087,1.13827945016524e-15,7.6410656423913e-15
"YJL052W",186001.140338692,1.3869340310695,0.197409369948145,4.41947733920007e-15,2.82199796927458e-14
"YCR012W",79092.3123977635,1.57993960315704,0.225326069296681,4.86775770538643e-15,3.07227330585865e-14
"YDL245C",467.156236934664,1.02418465573041,0.143743500831382,1.70117548567447e-14,1.02524802520621e-13
"YKL109W",7295.1090629633,1.5358737766495,0.228673651150691,3.63788775069388e-14,2.12969367873805e-13
"YCR021C",62969.6140531894,1.93069219605082,0.296024540892586,1.92874191609704e-13,1.05991736699036e-12
"YJR037W",138.382943363756,1.29101462375098,0.203657405713022,6.62929978581355e-13,3.48504153398793e-12
"YPR158W-B",4174.33970867931,1.2696173815295,0.200817677799183,8.11966144018563e-13,4.23451666342749e-12
